waa’ankieli	escamaen el tobillo
wiima	Viento frío
wiimeiste	acabado
wiimeistelemättömyys	incompleto
wiimeistely	afinamiento
wiimeistelyharjoitus	ejercicio de finalización
wiimeistelyleiri	finishing camp
wiimeistelytyö	trabajo de acabado
wiimeistelyvaihe	fase de afinamiento
wiimeistys	acabado
wiina	licor
wiinabasso	vodka bass
wiinahuuru	vapor de licor
wiinahöyry	vapor de licor
wiinakauppa	licorería
wiinakortti	tarjeta de licor
wiinakset	vodka
wiinalesti	estante de licores
wiinamäki	viñedo
wiinanhimo	antojo de licores
wiinanhuuru	vapor de alcohol
wiinanhöyry	vapor de alcohol
wiinanjuonti	beber licor
wiinankeitto	sopa de licor
wiinanmyynti	venta de licores
wiinanpoltto	incineración de licor
wiinanvalmistus	destilería
wiinapannu	olla de vodka
wiinapikari	copa de licor
wiinapullo	botella de licor
wiinapää	licorhead
wiinaryyppy	bebida alcohólica
wiinatehdas	destilería
wiinatrokari	camionero de licores
wiineri	wiener
wiini	vino
wiini	vino
wiinialue	zona vitícola, región vinícola
wiinibaari	bar de vinos
wiinietikka	vinagre de vino
wiinihappo	ácido tártárico (L(+))
wiinihiiva	Levaduras de vino
wiinikaappi	armario de vino
wiinikarahvi	decantador de vino
wiinikassa	cajón de vino
wiinikellari	bodega
wiinikulttuuri	cultura del vino
wiinikumi	chicle de vino
wiiniköynnös	vid
wiinilaji	tipo de vino
wiinilasi	copa de vino
wiinilista	carta de vinos
wiinimaa	país vinícola
wiinimarja	grosellas y casis
wiinimarjamehu	zumo de grosella
wiinimarjapensas	arbusto de uva
wiininjumala	dios del vino
wiininjäähdytin	enfriador de vino
wiininkorjuu	vendimia
wiininlehti	hoja de vid
wiininlehtikääryle	rollo de hojas de vid
wiinintuntija	conocedor de vinos
wiininvalmistus	vinificación
wiininviejä	exportador de vino
wiininvienti	exportaciones de vino
wiininviljelijä	viticultor
wiininviljely	viticultura
wiininviljelyalue	zona vitícola
wiinipullo	botella de vino
wiinipussi	bolsa de vino
wiiniravintola	restaurante de vinos
wiiniruukku	cuenco
wiinirypäle	uva
wiinirypälemehu	zumo de uva
wiinirypäleterttu	racimo de uvas
wiinisato	origen
wiinisuolaheinä	vino sal heno
wiinitarha	viña
wiinitarhuri	enólogo
wiinitila	explotación vitícola comercial
wiinitilkka	gota de vino
wiinitynnyri	barrica de vino
wiinivaahto	espuma de vino
wiinivaahtokastike	salsa de espuma de vino
wiiniviljelmä	viñedo
wiiniviljelys	viticultura
wiinivuosi	campaña vitícola
wiinuri	escanciador
wiipale	"rebanadas" de microprocesador
wiipalekoulu	slice school
wiipaleparakki	barraca de rebanadas
wiipalointi	rebanar
wiipotus	fenómeno de guiñada
wiipurinrinkeli	vendor bagel
wiipurinrinkilä	viipurinrinkilä
wiipymä	tiempo de retención
wiira	viira
wiiri	gallardete
wiirikkö	condado
wiirisalko	villas Salko
wiiritanko	grapevine bar
wiirivehka	veleta de rayas
wiiriäinen	codorniz
wiiriäisenmuna	huevo de codorniz
wiiru	racha
wiirupöllö	Cárabo uralense
wiisari	mano
wiisastelija	smart-ass
wiisastelu	sofistería
wiisastenkivi	piedra filosofal
wiisaudenhammas	Muela del Juicio
wiisaus	sabiduría
wiisi	cinco
wiisikanta	cinco zócalos
wiisikko	cinco
wiisikulmio	Pentágono
wiisikymmenluku	cincuentas
wiisikymmenmarkkanen	cincuenta marcos
wiisikymmenvuotispäivä	cincuentenario
wiisimarkkanen	five markka
wiisiottelija	pentatleta
wiisiottelu	pentatlón
wiisipenninen	cinco peniques
wiisisatanen	quinientos
wiisitahokas	cinco-dirigido
wiisivuotiskausi	periodo de cinco años
wiisivuotissuunnitelma	plan quinquenal
wiiste	chaflán
wiistolasku	descenso oblicuo
wiistoperä	hatchback
wiistopinta	superficie biselada
wiistorivi	línea de bisel
wiistosauma	encolado en bisel
wiistous	bisel
wiisu	viisu
wiisumi	visado
wiisumipakko	requisito de visado
wiisumivapaus	exención de visado
wiita	capa
wiitakerttunen	capercaillie
wiitasammakko	rana
wiite	visto
wiitealue	Área de referencia
wiitearvo	valor de referencia
wiitehinta	precio de referencia
wiitehintajärjestelmä	sistema de precios de referencia
wiitekehys	contexto
wiitekorko	tipo de referencia
wiitenumero	número de leyenda
wiitepankkisiirto	transferencia bancaria de referencia
wiiteraja	límite de referencia
wiiteryhmä	grupo de referencia
wiitetausta	fondo de referencia
wiiteväli	campo de referencia
wiitoitus	señalización vial
wiitonen	cinco
wiitseliäisyys	perfeccionismo
wiitta	boya de espeque
wiitta	boya de espeque
wiittaus	referencia
wiitteellisyys	referenciación
wiittilöinti	señalización
wiittoilu	señalización
wiittoja	señales
wiittoma	poste indicador
wiittomakieli	Lenguaje de Signos
wiiva	guión
wiivain	regla graduada
wiivakoodaus	código de barras
wiivakoodi	código de barras
wiiva-numerokoodi	código de número de guión
wiivaperspektiivi	perspectiva de línea
wiivapiirustus	dibujo lineal
wiivaspektri	espectro de rayas
wiivasto	paneles
wiivasyövytys	grabado de líneas
wiivaus	accidente cerebrovascular
wiivavarjostus	hachures lineales
wiive	latencia
wiivoitin	regla
wiivoitus	retraso
wiivyttely	Procrastinar
wiivytys	retardo
wiivytystaistelu	batalla estancada
wiivästely	retraso
wiivästymisaika	tiempo de intervención
wiivästymä	retardo
wiivästys	incumplimiento
wiivästyskorko	interés de demora
wika	tacha
wikailmoitus	informe de fallos
wikapaikka	lugar del defecto
wikapisto	costura defectuosa
wikapää	cabeza de falla
wikasoitto	solución de problemas
wikatikki	punto de falla
wikellys	Volteo
wiki	wiki
wikinä	chirriante
wikisivusto	sitio wiki
wikittely	truco o trato
wikkelyys	rapidez
wiklo	viklo
wiktoriaani	victoriano
wiktoriaanisuus	victorianismo
wikurointi	fallas
wilahdus	vislumbrar
wilaus	vislumbrar
wilautus	vislumbrar
wilinä	ajetreo y busto
wilja	Cereales
wilja-aitta	almacén de granos
wiljakaskas	montón fértil
wiljakasvi	cultivo de cereales
wiljakauppa	comercio de cereales
wiljakirva	pulgón del trigo
wiljalaari	barra de grano
wiljalaiva	barco de granos
wiljalaji	tipo de cereal
wiljalajike	variedad de grano
wiljalyhde	hoja de cereal
wiljankorjuu	recolección de cereales
wiljankuivaamo	secador de granos
wiljankuivuri	secador de granos
wiljankylvö	siembra de grano
wiljankylvökone	sembradora de granos
wiljanleikkuu	corte de grano
wiljanpuinti	trilla de grano
wiljantuonti	importaciones de granos
wiljanvienti	exportaciones de granos
wiljanviljely	cultivo de cereales
wiljapelto	trigal
wiljapörssi	bolsa de cereales
wiljasato	cosecha de cereales
wiljaseppä	grainsmith
wiljasiilo	silo de grano
wiljasäiliö	contenedor de granos
wiljasäkki	saco de cereales
wiljatatar	trigo sarraceno de grano
wiljatila	explotación de cereales
wiljatuote	producto a base de cereales
wiljavainio	campo de cereales
wiljavalmiste	producto derivado de los cereales
wiljavarasto	silo
wiljaviina	alcohol de grano
wiljavuori	forro de grano
wiljavuosi	año cereal
wiljavuus	fertilidad del suelo
wiljavuustutkimus	estudio de fertilidad
wiljelijä	productor agrícola
wiljelijäperhe	familia de labradores
wiljelijäväestö	clase agraria
wiljelmä	plantación
wiljely	cultivo
wiljelyala	área de cultivación
wiljelyalue	zona de cultivo
wiljelykala	pescado de piscifactoría
wiljelykarkulainen	asilvestrado
wiljelykasvi	Cultivo
wiljelykausi	campaña agrícola
wiljelykierto	Rotación de cultivos
wiljelykukka	flor cultivada
wiljelylaitos	semillero
wiljelylajike	cultivo
wiljelylohi	salmón de piscifactor
wiljelymaa	tierras de labor
wiljelymenetelmä	método de cultivo
wiljelymetsä	agrosilvicultura
wiljelymuoto	forma de cultivo
wiljelypalsta	huerto familiar
wiljelyraja	límite de cultivo
wiljelys	cultivo
wiljelysalue	zona de cultivo
wiljelyslaidun	pastos arables
wiljelysmaa	terrenos cultivados
wiljelysmetsikkö	forestal de plantaciones
wiljelysmetsä	bosque cultivado
wiljelyspalsta	parcela de cultivo
wiljelystie	carretera de cultivo
wiljelysuunnitelma	plan de cultivo
wiljelytapa	método de cultivo
wiljelytekniikka	manejo de un rebaño
wiljelyvyöhyke	zona de cultivo
wilkahdus	vislumbrar
wilkahtelu	vislumbrar
wilkaisu	un vistazo
wilkaus	vislumbrar
wilke	paradójico
wilkeuni	sueño paradójico
wilkkaus	tasa de actividad
wilkku	parpadeo
wilkkukalvo	Membrana Nictitante
wilkkuluomi	párpados parpadeantes
wilkkuvalo	lámpara intermitente
wilkkuvihreä	verde parpadeante
wilkuilu	mirada
wilkunta	glut
wilkutus	parpadeo
willa	lana
willa	lana
willahiki	churre
willahousut	pantalón de lana
willahuivi	pañuelo de lana
willahuopa	manta de lana
willakangas	paño de lana
willakas	lanudo
willakaulaliina	pañuelo de lana
willakehrääjä	METRO
willakko	malla de lana
willakoira	Caniche
willakuitu	fibra de lana
willakäsine	guante de lana
willalanka	Hilados de lana
willalapanen	lino de lana
willalumppu	lámpara de lana
willamatto	alfombra de lana
willamusliini	lanilla estampada
willamyssy	gorra de lana
willamyssymissi	musgo de gorro de lana
willaneule	punto de lana
willanhiki	sudor de lana
willantuotanto	produccion lanera
willantuottaja	productor de lana
willanuttu	tortita de lana
willapaita	jersey
willapipo	gorro de lana
willapusero	suéter
willarasva	grasa de lana
willaröijy	centeno de lana
willasekoitekangas	tejido de mezcla de lana
willasukka	calcetines de lana
willatakki	cárdigan
willatrikoo	punto de lana
willavaate	prenda de lana
willavaha	cera de lana
willeys	salvajismo
willieläin	animal salvaje
willihanhi	ganso salvaje
willihevonen	caballo salvaje
willi-ihminen	salvaje
willikaali	col silvestre
willikala	peces silvestres
willikaniini	conejo salvaje
willikarju	jabalí
willikarjuammunta	caza de jabalíes
willikissa	Gato montés
willikko	salvaje
willilapsi	niño salvaje
willimehiläinen	abeja salvaje
williminkki	visón salvaje
williomena	manzana silvestre
williomenapuu	manzano silvestre
willipeto	bestia salvaje
willipeura	renos salvajes
williriisi	arroz silvestre
williruoka	comida silvestre
williruusu	rosa silvestre
willisika	Jabato
willisilkki	seda salvaje
willitsijä	pícaro
willitys	manía
willivarsa	potrillo salvaje
willivihannes	verdura silvestre
williviini	vino salvaje
williyrtti	hierba silvestre
williys	salvajismo
willoitus	sacrificio
wilpistelijä	tramposo
wilpistely	hacer trampa
wilpittömyys	rectitud
wilpoisuus	frialdad
wilpola	vilpola
wilppi	dolo
wilppilähtö	salida fraudulenta
wilske	bullicioso
wiltti	manta
wilttihattu	sombrero de manta
wilttiketju	cadena de fieltro
wilttimies	hombre manta
wilttitossu	pantuflas manta
wilu	enfriar
wilukissa	gato salvaje
wilukko	broche
wilunki	vilun
wilunpuistatus	batido
wilunväre	escalofríos
wilunväristys	escalofríos
wilustumistauti	resfriado común
wilutauti	resfriado común
wilutus	fluidez
wilvoittelu	chill out
wilvoitus	enfriar
wimma	rencor
wimmaisuus	frenesí
wimmastus	frenesí
wimpa	vimba
wimpain	widget
winaigrette	vinagreta
windaloo	vindaloo
winegretti	vinagreta
wingahdus	chirrido
wingerpori	gachas retorciéndose
wingunta	lloriqueo
winguttaja	quejica
wingutus	chirrido
winjetti	logotipo
winka	vinka
winka	vinka
winkaisu	vinkisu
winkaus	vinkaus
winkeys	sesgar
winkkari	pista
winkkeli	pista
winkki	tip
winksahdus	torsión
winku	chirrido
winkulelu	juguete chirriante
winoilu	sesgado
winokaitale	panel diagonal
winokas	oblicuo
winokatto	techo oblicuo
winoköysisilta	puente atirantado
winolaudoitus	embarque en ángulo
winolehti	hoja oblicua
winonauha	cinta cortada al sesgo
winoneliö	rombo
winopaikoitus	aparcamiento oblicuo
winopenkki	banco diagonal
winopysäköinti	aparcamiento oblicuo
winoristi	cruz diagonal
winoruutu	pantalla diagonal
winosuuntaus	alineación oblicua
winotuki	nervio de triangulación
winouma	sesgo
winous	asimetría
winoutuma	sesgar
winoviiva	barra
winoviivoitus	estiramiento diagonal
winssi	Cabestrante
wintilä	barrena de mano
wintiö	vintiö
wintti	galgo
wintti	galgo
winttikaivo	pozo de cabrestante
winttikamari	baya de galgo
winttikoira	galgo
wintturi	chigre
winyyli	vinilo
winyylikatto	techo de vinilo
winyylilevy	registro de vinilo
winyylimuovi	materias plásticas vinílicas
winyyliyhdiste	compuesto de vinilo
wioittuma	lesión
wiola	Pensamiento (Planta)
wiolisti	violista
wipatus	vipatus
wipellys	espasmos
wip-henkilö	persona vip
wip-huone	sala vip
wipinä	centelleo
wippa	vippa
wippaskonsti	vivikasonti
wippaus	deslizar
wippi	vip
wippi	vip
wippi	vip
wippikassa	cajero VIP
wipu	palanca
wipuhana	ventilador de palanca
wipukelkka	trineo de palanca
wipukytkin	interruptor oscilante
wipunosto	elevación de apalancamiento
wipurahasto	fondo de cobertura
wipusin	palanca
wipuvarsi	brazo oscilante
wiraapeli	cable de error
wiraapelityö	virapelityö
wirallisuus	formalidad
wiraltapano	destitución
wiranhaku	solicitud de empleo
wiranhakupaperi	papel de solicitud de empleo
wiranhaltija	titular del cargo
wiranomainen	magistrado
wiranomaisnimi	nombre oficial
wiranomaistehtävä	función oficial
wiranomaistoimi	medida de autoridad
wiransijainen	sustituto del cargo
wiransijaisuus	cargo oficial
wirantoimitus	servicio
wirantäyttö	llenando el puesto
wirasto	servicio
wirastoaika	horas de oficina
wirastoavustaja	asistente de agencia
wirastokankeus	rigor de la agencia
wirastokäsittely	procesamiento de agencia
wirastomestari	maestro de agencia
wirastorakennus	edificio de oficinas
wirastotalo	edificio de oficinas
wire	calada
wireillepano	Inicio
wireys	estado de alerta
wireystila	estado de alerta
wirginianpeura	ciervo virginiano
wirhe	error
wirhearvio	estimación de error
wirhearviointi	evaluación de errores
wirheasento	desalineación
wirheellisyys	disconformidad
wirheettömyys	Corrección
wirheilmoitus	ticket de información de averías
wirheinvestointi	mala inversión
wirhekäsitys	percepción de error
wirhelaskelma	cálculo de errores
wirheliike	movimiento de error
wirheluettelo	lista de errores
wirhelyönti	batido de error
wirhelähde	fuente de error
wirhemahdollisuus	posibilidad de error
wirhemaksu	pago por error
wirhemarginaali	margen de error
wirhemerkintä	entrada de error
wirhemerkki	señalización intempestiva por imitación de señales
wirhepainama	defecto de impresión
wirhepiste	punto de error
wirheprosentti	tasa de error
wirhepäätelmä	falacia
wirheraja	error máximo
wirheratkaisu	solución de error
wirhesijoitus	colocación de errores
wirhesoitto	error al reproducir
wirhetikki	error stick
wirhetili	cuenta de error
wirhetulkinta	interpretación errónea
wirhevalinta	selección de error
wiri	viri
wirike	estímulo
wirikehäkki	jaula acondicionada
wirikekirja	libro de impulsos
wirikeympäristö	entorno de enriquecimiento
wirikkeisyys	estimulación
wirilaine	onda viral
wiritelmä	tuning
wiritin	sintonizador
wiritin-vahvistin	sintonizador-amplificador
wirittäjä	sintonizador
wiritys	sintonía
wirityskorkeus	altura de sintonización
wirityskuva	imagen de ajuste
wiritysnappula	botón de ajuste
wiritysnuppi	control de sintonía
wiritystaso	nivel de la frecuencia de sintonía
wiritystila	estado excitado
wiriö	viruso
wirka	tarea
wirka-aika	horas de oficina
wirkaanasettajaiset	inauguración
wirkaanastujaiset	inauguración
wirkaanastujaispuhe	discurso inaugural
wirka-ansiomerkki	insignia de honor
wirka-apu	ASISTENCIA ADMINISTRATIVA
wirka-apupyyntö	comisión rogatoria
wirka-asema	puesto en el escalafón
wirka-asia	asunto oficial
wirka-asteikko	escalera de trabajo
wirka-asu	uniforme
wirka-asunto	vivienda oficial
wirkaehto	condiciones de empleo
wirkaehtosopimus	convenio colectivo
wirkaeläke	pensión relacionada con los ingresos
wirkaero	renuncia
wirkahuone	sala de oficinas
wirkaikä	años de servicio
wirkailija	oficial
wirkainto	oficina oficial
wirkakausi	período de la función
wirkakieli	idioma oficial
wirkakielto	suspensión
wirkakieltojärjestelmä	sistema de suspensión
wirkakoneisto	maquinaria oficial
wirkalakki	insignia
wirkaleima	sello oficial
wirkamatka	misión
wirkamerkki	insignia
wirkamiehistö	personal oficial
wirkamies	funcionario
wirkamieshallitus	junta de la Función Pública
wirkamiesjärjestö	organización de funcionarios públicos
wirkamieskunta	función pública
wirkamieslakko	huelga de los empleados de la Administración
wirkamiesruotsi	funcionario sueco
wirkanainen	mujer de oficina
wirkanimike	puesto de trabajo
wirkanimitys	puesto de trabajo
wirkapuhelu	llamada de servicio
wirkapuku	uniforme de servicio
wirkarakenne	estructura del puesto
wirkarikos	delito
wirkasalaisuus	secreto oficial
wirkasisar	hermana a cargo
wirkasuhde	Relación de trabajo
wirkasääntö	estatuto
wirkatalo	edificio de oficinas
wirkatehtävä	cargo público
wirkatie	vía pública
wirkatodistus	fe de vida
wirkatoimenpide	medida de cargo público
wirkatoimi	acto administrativo
wirkatoveri	colega
wirkatutkinto	examen burocrático
wirkatyö	trabajo oficial
wirkaura	carrera del funcionario
wirkavakuutus	seguro oficial
wirkavala	juramento del cargo
wirkavalta	autoridad
wirkavaltaisuus	burocracia
wirkavapaus	permiso por motivos personales
wirkavastuu	responsabilidad oficial
wirkaveli	colega
wirkavelvollisuus	deberes del cargo
wirkavirhe	Mala Conducta Profesional
wirkavuosi	año de servicio
wirkaylennys	promoción
wirke	Oración
wirkerakenne	estructura de ganchillo
wirkeys	frescura
wirkiste	refrescante
wirkistys	actividades recreativas
wirkistysaine	agentes estimulantes
wirkistysalue	espacio de recreo
wirkistyshetki	momento refrescante
wirkistyskalastus	Pesca recreativa:
wirkistyskäyttö	uso recreativo
wirkistystauko	descanso para refrescarse
wirkistysuimala	piscina recreativa
wirkkaus	crochet
wirkkauskoukku	ganchillo
wirkkauslanka	hilo de ganchillo
wirkkaustyö	trabajo de ganchillo
wirkkuu	crochet
wirkkuukoukku	ganchillo
wirkkuulanka	hilo para punto de aguja
wirkkuutyö	trabajo de ganchillo
wirmajuuri	virma root
wirna	veza
wirne	mueca
wirnistely	sonriente
wirnistys	sonreír
wiro	estonio
wirologi	virólogo
wirologia	Virología
wironnos	borrador
wirpi	virpi
wirpoja	virpoja
wirpomavitsa	virpomavits
wirpovitsa	virpovitsa
wirranjakaja	distribuidor
wirrankulutus	consumo de energía
wirrankäännin	inversor
wirranotto	colección actual
wirranpyörre	vórtice actual
wirrensäe	rayo himno
wirrensäkeistö	himnario
wirrensävel	tono de himno
wirrenveisuu	luna de miel chirriando
wirroitin	colector de corriente
wirroitus	currentisation
wirsi	Himno
wirsikannel	cubierta de melocotón
wirsikantele	para tocones de melocotón
wirsikirja	libro de himnos
wirsikokoelma	colección de himnos
wirsilaulu	himnario
wirsinki	himno
wirsirunoilija	poeta de himnos
wirsirunous	himno poema
wirsiseurat	tréboles de himnos
wirsisävelmä	melodía de himno
wirsitaulu	tabla de himnos
wirsta	Versta
wirstanpylväs	hito
wirsu	virsu
wirta	corriente
wirtaama	caudal del agente de extinción
wirta-avain	llave de contacto
wirtahepo	hipopótamo
wirtajohdin	cable de alimentación
wirtakisko	embarrado
wirtakytkin	interruptor de corriente
wirtalukko	interruptor de encendido
wirtalähde	fuente de energía
wirtamittari	amperímetro
wirtanen	Introducción: Sr. Virtanen
wirtapaikka	power point
wirtapiiri	circuito de una linea eléctrica
wirtaska	virtaska
wirtaus	flujo
wirtausnopeus	caudal másico del fluido transmisor
wirtaustoisto	Flujo
wirtaviivaistus	racionalización
wirtsa	agua de estiércol
wirtsa-aine	urea
wirtsaamispakko	compulsión a orinar
wirtsaamisvaikeus	dificultad para orinar
wirtsaelin	uretra
wirtsahappo	ácido úrico
wirtsainkontinenssi	Incontinencia urinaria Disuria
wirtsakaivo	pozo uretral
wirtsakivi	cálculo urinario
wirtsakoe	prueba de orina
wirtsamyrkytys	uremia
wirtsaneritys	diuresis
wirtsanjohdin	Uréter
wirtsankarkailu	DIURESIS INVOLUNTARIA
wirtsanpidätys	retención urinaria
wirtsanpidätyskyky	retención urinaria
wirtsanpidätyskyvyttömyys	incontinencia urinaria
wirtsanäyte	muestra de orina
wirtsaputki	Uretra
wirtsaputkitulehdus	uretritis
wirtsarakko	vesícula
wirtsarakkotulehdus	CISTITIS
wirtsarakontähystin	espéculo vesical
wirtsarakontähystys	endoscopia de vejiga
wirtsasuihku	chorro de orina
wirtsatesti	prueba de orina
wirtsatie	vías urinarias
wirtsatieinfektio	infección urinaria
wirtsatietulehdus	Infección del tracto urinario
wirtsatulehdus	infección del tracto urinario
wirtsaumpi	Hematoquecia
wirtuaalihahmo	carácter virtual
wirtuaalilemmikki	mascota virtual
wirtuaalimaailma	mundo virtual
wirtuaaliopetus	educación virtual
wirtuaalisuus	virtualidad
wirtuaalitodellisuus	realidad virtual
wirtuaalivaluutta	moneda virtual
wirtuoosi	Virtuosismo
wirtuoosisuus	virtuosismo
wirtuositeetti	virtuosismo
wiruksentorjuntaohjelma	programa antivirus
wirulenssi	virulencia
wirus	virus informático
wirusoppi	virología
wirustauti	virosis
wirustorjuntaohjelma	programa antivirus
wirutus	dimensionamiento
wirvaliekki	llama de error
wirvatuli	llamas
wirveli	trampa
wirvelirumpu	tambor de trampa
wirvelöinti	refresco
wirvoittelu	refresco
wirvoitus	refresco
wirvoitusjuoma	Gaseosa
wirvoitusjuoma-automaatti	dispensador de refrescos
wirvoitusjuomapullo	botella de refresco
wirvoitusjuomatehdas	fábrica de refrescos
wirvoitusjuomateollisuus	industria de refrescos
wirvoke	refresco
wirvokeautomaatti	máquina expendedora
wirvonta	streaming
wisa	visado
wisailu	cuestionario
wisakoivu	abedul rizado
wisapuu	árbol de cuestionarios
wisasolu	celda del cuestionario
wiserrys	chirping
wisertäjä	twitterer
wisiiri	pantalla facial
wisiiri	pantalla facial
wisiitti	visita
wisiittikortti	tarjeta de visita
wisio	Planificación estratégica
wisiointi	visioning
wisionääri	visionario
wiskaali	viscale
wiskari	whisky
wiskely	batido
wiski	Whisky:–
wiskigrogi	whisky grog
wiskilikööri	licor de whisky
wiskipullo	botella de whisky
wiskisieppo	pargo de whisky
wiskonta	viscosidad
wiskoosikuitu	fibra de rayón
wiskoosiliuos	solución de viscosa
wiskoosisuus	viscosidad
wiskoosius	viscosidad
wiskositeetti	viscosidad
wislaus	Silbido
wismutti	bismuto
wispaus	montado de la nata
wispikerma	Nata montada
wispilä	Batidor
wispilänkauppa	tienda de whisky
wispipuuro	batidora de gachas
wissy	vissy
wisti	visti
wisuaalisuus	visualidad
wisualisoija	visualizador
wisualisointi	visualización
wisva	tirar
wisvasyylä	condiloma
wita	Vita
witaalisuus	vitalidad
witaalius	vitalidad
witakasvi	planta vital
witalismi	Vitalismo
witaliteetti	vitalidad
witamiini	vitamina
witamiinilähde	fuente de vitaminas
witamiininpuute	deficiencia vitamínica
witamiininpuutos	deficiencia vitamínica
witamiinintarve	requerimiento vitamínico
witamiinipilleri	píldora vitamínica
witamiinitabletti	tableta de vitaminas
witamiinivalmiste	preparado vitamínico
witaminointi	vitaminización
witi	tweet
witiligo	vitíligo
witilumi	vitilum
witja	vitja
witka	vitka
witkalaite	dispositivo deflector
witkalaukaisin	gatillo deflector
witkalaukaisu	disparo lento
witkalipas	vitkalipas
witkastelija	procrastinador
witkastelu	procrastinación
witkuttelu	procrastinación
witonen	cinco
witriini	vitrina
witsa	varilla
witsailija	bromas
witsailu	bromas
witsas	mimbre
witsaslenkki	trotar
witsaus	plaga
witsi	Chiste
witsikirja	carta de magia
witsikkyys	bromeando
witsinikkari	bromas
witsinkertoja	chistes
wittu	follar
wittuilu	masturbarse
wittumaisuus	cuntismo
witutus	cuntting
wiuhahdus	voladura
wiuhina	silbato
wiuhka	penacho
wiuhkamaisuus	fanfarria
wiuhkapalmu	palma en abanico
wiuhke	ventilador
wiuhko	cima
wiulisti	violinista
wiulu	Violinista
wiuluduo	dúo de violines
wiulukappale	pieza para violín
wiulukilpailu	concurso de violín
wiulukonsertti	concierto de violín
wiulukonsertto	concierto para violín
wiulukotelo	estuche para violín
wiulukoulu	escuela de violín
wiulumusiikki	música de violín
wiuluniekka	barredora de violines
wiulunjousi	arco de violín
wiulunkieli	lengua de violín
wiulunrakentaja	Violero
wiulunsoittaja	violinista
wiulunsoitto	tocar el violín
wiuluoppilas	estudiante de violín
wiulusolisti	solista de violín
wiulusoolo	solo de violín
wiulusävellys	composición para violín
wiulutaide	arte con violín
wiulutaiteilija	violinista
wiuluteos	pieza de violín
wiulutunti	clase de violín
wivahde	matiz
wivahde-ero	diferencia de matices
wivahdus	matiz
wivahteettomuus	matiz
wivahteikkuus	matiz
wivisektio	Vivisección
V-laakso	valle en V
wloggaaja	vlogger
wlogi	vlog
V-moottori	Motor en V
woda	voda
wodka	Vodka
wodou	vodou
woguli	vogul
wohla	choto
wohveli	waffle
wohvelikangas	tela a punto de tripa
wohvelikeksi	galleta de gofres
wohvelipannu	waffle Pot
wohvelirauta	plancha para gofres
woi	mantequilla
woide	Pomada
woidenippa	tetina de mantequilla
woidepuristin	prensa de nata
woidepurkki	tarro de nata
woideputki	tubo de ungüento
woidetuubi	tubo de crema
woihappo	Ácido Butírico
woihkaisu	gemidos
woihke	gemido
woihkina	gemidos
woikastike	salsa de mantequilla
woi-kasviöljyseos	mezcla de mantequilla y aceite vegetal
woikka	mantequilla
woikukka	diente de león
woilautanen	plato de mantequilla
woilee	voile
woileipä	bocadillo
woileipäkakku	tarta de sándwich
woileipäkeksi	bizcocho
woileipäpöytä	mesa de sándwich
woileipätahna	pasta de sándwich
woilokki	gaviota
woima	fuerza
woimaantulo	Entrada en vigor
woimahahmo	carácter de potencia
woimaharjoittelu	entrenamiento de fuerza
woimaharjoitus	entrenamiento de fuerza
woimailija	gimnasta
woimailu	gimnasia
woimailulaji	gimnasia
woimainkoetus	prueba de fuerza
woimainmittely	lucha de poder
woimainponnistus	esfuerzo de fuerza
woimajohto	línea de transporte de energía eléctrica
woimakaksikko	power Duo
woimakeino	fuerza
woimakenttä	campo de fuerzas
woimakkuus	fuerza
woimakkuusero	diferencia de intensidad
woimakone	motor primario
woimala	central eléctrica
woimalaite	grupo motopropulsor
woimalaitos	central generadora
woimalaji	tipo de potencia
woimalause	teorema de la fuerza
woimalinja	línea eléctrica
woimallisuus	potencia
woimamies	hombre fuerte
woimanainen	power woman
woimankulutus	consumo de energía
woimankäyttö	uso de la fuerza
woimanlisä	aumento de potencia
woimanlähde	fuente de energía
woimannäyte	muestra de potencia
woimannäyttö	pantalla de potencia
woimanosto	levantamiento de potencia
woimanpesä	central eléctrica
woimanponnistus	esfuerzo de fuerza
woimanripe	ondulación de fuerza
woimansiirto	transferencia de esfuerzo
woimansiirtoakseli	eje de transmisión
woimansiirtolaite	transmisión
woimansiirtolaitteisto	equipos de transmisión
woimansiirtolinja	línea de transmisión de energía
woimansiirtoverkko	red de transmisión
woimantunto	sensación de fuerza
woimapaperi	papel kraft
woimapelaaja	power player
woimaperäisyys	intensidad
woimapolitiikka	política de poder
woimasakset	tijeras de fuerza
woimasana	power word
woimassaolo	Vigencia
woimassaoloaika	período de validez
woimasuhde	relación de potencia
woimatalous	economía de energía
woimatanko	barra de fuerza
woimatasapaino	equilibrio de las fuerzas
woimatekijä	factor de potencia
woimatoimenpide	acción de fuerza
woimatoimi	acción de fuerza
woimattomuus	astenia
woimavarat	recursos
woimaverkko	red eléctrica
woimaviiva	línea de fuerzas
woimayhtiö	compañía energética
woimistelija	gimnasta
woimistelu	Gimnasia
woimisteluasento	postura gimnástica
woimisteluasu	atuendo de gimnasia
woimistelukilpailu	competición de gimnasia
woimisteluliike	gimnasio
woimistelumaaottelu	partido de gimnasia
woimistelumatto	esterilla de gimnasia
woimistelunopettaja	profesora de gimnasia
woimistelupallo	pelota de gimnasia
woimistelupuku	traje de gimnasia
woimistelusali	gimnasio
woimisteluseura	club de gimnasia
woimistelutanko	bar de gimnasia
woimisteluteline	soporte de gimnasia
woimistelutossu	zapatillas de gimnasia
